day,market_price,peg_deviation_bps,supply,action,action_magnitude,in_band
0,1.0,0.0,1000999.0,hold,0.0,True
1,1.0248357076505616,248.35707650561645,1001625.0922221624,burn,-372.90777783756835,True
2,1.0177507980038825,177.50798003882463,1002233.0172120181,burn,-391.07501014431864,True
3,1.0058353088048837,58.35308804883699,1002930.8841144971,burn,-301.1330975210876,True
4,0.994060147885103,-59.39852114897004,1003776.4243655631,burn,-153.4597489340636,True
5,1.0725517741313693,725.5177413136926,1003469.825997968,burn,-1305.5983675950831,False
6,1.1137074481455183,1137.0744814551824,1002180.1316822628,burn,-2288.6943157051787,False
7,1.0875645921290533,875.6459212905332,1000716.599912579,burn,-2462.5317696837224,False
8,1.117068046754458,1170.6804675445803,998375.6586397694,burn,-3339.9412728096177,False
9,1.1305824628587853,1305.8246285878527,995255.7539719234,burn,-4118.904667845992,False
10,1.0224264083015717,224.2640830157172,993113.5500984173,burn,-3141.2038735060723,True
11,0.9706491440725926,-293.50855927407383,991638.0580912686,burn,-2474.4920071486786,True
12,0.9859003392931275,-140.99660706872518,990084.9146394106,burn,-2552.143451858068,True
13,1.0581495202213433,581.4952022134335,987532.5754022369,burn,-3551.339237173669,False
14,1.0462042660194846,462.0426601948457,984879.213347474,burn,-3652.362054762849,True
15,1.0177274895822068,177.27489582206823,982428.8293510447,burn,-3449.3839964292774,True
16,1.0233719380203758,233.71938020375848,979816.7684205472,burn,-3611.060930497459,True
17,0.9926380990127646,-73.61900987235437,977551.5103805974,burn,-3264.2580399498524,True
18,0.9781607825483295,-218.392174516705,975542.0670700719,burn,-3008.443310525508,True
19,0.977500659752735,-224.99340247264965,973654.9929200235,burn,-2886.074150048378,True
20,0.9258050032086316,-741.9499679136843,972638.0405355796,burn,-2015.9523844439368,False
21,0.9638808129580784,-361.1918704192163,971428.5084174427,burn,-2208.532118136834,True
22,0.9050434244666395,-949.5657553336046,971254.5035258629,burn,-1173.00489157979,False
23,0.844940121965447,-1550.59878034553,972417.4778026763,mint,163.97427681337277,False
24,0.8532569197977233,-1467.4308020227666,974213.2521052603,mint,796.7743025840366,False
25,0.8847620057687455,-1152.3799423125447,976264.9030029317,mint,1052.6508976714958,False
