site_id,label,value_multiplier,capex_reduction_pct,debt_share,debt_interest_rate,debt_tenor_years,adjusted_capex_usd,adjusted_annual_debt_service_usd,adjusted_p50_value_usd,adjusted_p10_value_usd,p50_dscr,p10_dscr,p50_payback_years,launch_ready,intervention_score
rooftop_home_10kw,10 kW solar home,1,0,0.7,0.08,10,31500,3286.1,1067.84,880.27,0.325,0.2679,29.5,false,0
rooftop_home_10kw,10 kW solar home,1,0,0.7,0.06,10,31500,2995.89,1067.84,880.27,0.3564,0.2938,29.5,false,0.1
rooftop_home_10kw,10 kW solar home,1,0,0.7,0.04,10,31500,2718.57,1067.84,880.27,0.3928,0.3238,29.5,false,0.2
rooftop_home_10kw,10 kW solar home,1,0,0.5,0.08,10,31500,2347.21,1067.84,880.27,0.4549,0.375,29.5,false,0.15
rooftop_home_10kw,10 kW solar home,1,0,0.5,0.06,10,31500,2139.92,1067.84,880.27,0.499,0.4114,29.5,false,0.25
rooftop_home_10kw,10 kW solar home,1,0,0.5,0.04,10,31500,1941.83,1067.84,880.27,0.5499,0.4533,29.5,false,0.35
rooftop_home_10kw,10 kW solar home,1,0,0.3,0.08,10,31500,1408.33,1067.84,880.27,0.7582,0.625,29.5,false,0.3
rooftop_home_10kw,10 kW solar home,1,0,0.3,0.06,10,31500,1283.95,1067.84,880.27,0.8317,0.6856,29.5,false,0.4
rooftop_home_10kw,10 kW solar home,1,0,0.3,0.04,10,31500,1165.1,1067.84,880.27,0.9165,0.7555,29.5,false,0.5
rooftop_home_10kw,10 kW solar home,1,15,0.7,0.08,10,26775,2793.19,1067.84,880.27,0.3823,0.3151,25.07,false,0.3
rooftop_home_10kw,10 kW solar home,1,15,0.7,0.06,10,26775,2546.51,1067.84,880.27,0.4193,0.3457,25.07,false,0.4
rooftop_home_10kw,10 kW solar home,1,15,0.7,0.04,10,26775,2310.78,1067.84,880.27,0.4621,0.3809,25.07,false,0.5
rooftop_home_10kw,10 kW solar home,1,15,0.5,0.08,10,26775,1995.13,1067.84,880.27,0.5352,0.4412,25.07,false,0.45
rooftop_home_10kw,10 kW solar home,1,15,0.5,0.06,10,26775,1818.93,1067.84,880.27,0.5871,0.4839,25.07,false,0.55
rooftop_home_10kw,10 kW solar home,1,15,0.5,0.04,10,26775,1650.56,1067.84,880.27,0.647,0.5333,25.07,false,0.65
rooftop_home_10kw,10 kW solar home,1,15,0.3,0.08,10,26775,1197.08,1067.84,880.27,0.892,0.7353,25.07,false,0.6
rooftop_home_10kw,10 kW solar home,1,15,0.3,0.06,10,26775,1091.36,1067.84,880.27,0.9784,0.8066,25.07,false,0.7
rooftop_home_10kw,10 kW solar home,1,15,0.3,0.04,10,26775,990.33,1067.84,880.27,1.0783,0.8889,25.07,false,0.8
rooftop_home_10kw,10 kW solar home,1,30,0.7,0.08,10,22050,2300.27,1067.84,880.27,0.4642,0.3827,20.65,false,0.6
rooftop_home_10kw,10 kW solar home,1,30,0.7,0.06,10,22050,2097.12,1067.84,880.27,0.5092,0.4197,20.65,false,0.7
rooftop_home_10kw,10 kW solar home,1,30,0.7,0.04,10,22050,1903,1067.84,880.27,0.5611,0.4626,20.65,false,0.8
rooftop_home_10kw,10 kW solar home,1,30,0.5,0.08,10,22050,1643.05,1067.84,880.27,0.6499,0.5358,20.65,false,0.75
rooftop_home_10kw,10 kW solar home,1,30,0.5,0.06,10,22050,1497.94,1067.84,880.27,0.7129,0.5876,20.65,false,0.85
rooftop_home_10kw,10 kW solar home,1,30,0.5,0.04,10,22050,1359.28,1067.84,880.27,0.7856,0.6476,20.65,false,0.95
rooftop_home_10kw,10 kW solar home,1,30,0.3,0.08,10,22050,985.83,1067.84,880.27,1.0832,0.8929,20.65,false,0.9
rooftop_home_10kw,10 kW solar home,1,30,0.3,0.06,10,22050,898.77,1067.84,880.27,1.1881,0.9794,20.65,false,1
rooftop_home_10kw,10 kW solar home,1,30,0.3,0.04,10,22050,815.57,1067.84,880.27,1.3093,1.0793,20.65,false,1.1
rooftop_home_10kw,10 kW solar home,1,45,0.7,0.08,10,17325,1807.36,1067.84,880.27,0.5908,0.487,16.22,false,0.9
rooftop_home_10kw,10 kW solar home,1,45,0.7,0.06,10,17325,1647.74,1067.84,880.27,0.6481,0.5342,16.22,false,1
rooftop_home_10kw,10 kW solar home,1,45,0.7,0.04,10,17325,1495.21,1067.84,880.27,0.7142,0.5887,16.22,false,1.1
rooftop_home_10kw,10 kW solar home,1,45,0.5,0.08,10,17325,1290.97,1067.84,880.27,0.8272,0.6819,16.22,false,1.05
rooftop_home_10kw,10 kW solar home,1,45,0.5,0.06,10,17325,1176.96,1067.84,880.27,0.9073,0.7479,16.22,false,1.15
rooftop_home_10kw,10 kW solar home,1,45,0.5,0.04,10,17325,1068.01,1067.84,880.27,0.9998,0.8242,16.22,false,1.25
rooftop_home_10kw,10 kW solar home,1,45,0.3,0.08,10,17325,774.58,1067.84,880.27,1.3786,1.1364,16.22,false,1.2
rooftop_home_10kw,10 kW solar home,1,45,0.3,0.06,10,17325,706.17,1067.84,880.27,1.5121,1.2465,16.22,false,1.3
rooftop_home_10kw,10 kW solar home,1,45,0.3,0.04,10,17325,640.8,1067.84,880.27,1.6664,1.3737,16.22,false,1.4
rooftop_home_10kw,10 kW solar home,1,60,0.7,0.08,10,12600,1314.44,1067.84,880.27,0.8124,0.6697,11.8,false,1.2
rooftop_home_10kw,10 kW solar home,1,60,0.7,0.06,10,12600,1198.36,1067.84,880.27,0.8911,0.7346,11.8,false,1.3
rooftop_home_10kw,10 kW solar home,1,60,0.7,0.04,10,12600,1087.43,1067.84,880.27,0.982,0.8095,11.8,false,1.4
