site_id,period,days,generation_kwh,surplus_kwh,net_spk_issued,energy_value_usd
rooftop_home_10kw,2024-01,31,727.1988,327.2395,16.34561,64.357091
rooftop_home_10kw,2024-02,29,848.8888,382,19.0809,75.126656
rooftop_home_10kw,2024-03,31,938.7072,422.4182,21.09979,83.075588
rooftop_home_10kw,2024-04,30,982.5448,442.1452,22.08515,86.955219
rooftop_home_10kw,2024-05,31,1086.0046,488.7021,24.410667,96.111403
rooftop_home_10kw,2024-06,30,1202.4778,541.115,27.028692,106.419285
rooftop_home_10kw,2024-07,31,1472.0534,662.424,33.088081,130.276725
rooftop_home_10kw,2024-08,31,1400.1368,630.0615,31.471576,123.912106
rooftop_home_10kw,2024-09,30,1203.6096,541.6243,27.054133,106.519443
rooftop_home_10kw,2024-10,31,898.3397,404.2528,20.192428,79.503059
rooftop_home_10kw,2024-11,30,677.8305,305.0237,15.235935,59.988
rooftop_home_10kw,2024-12,31,628.175,282.6787,14.119802,55.593483
rooftop_home_10kw,2025-01,31,694.9746,312.7386,15.621292,61.505255
rooftop_home_10kw,2025-02,28,627.511,282.38,14.104879,55.534727
rooftop_home_10kw,2025-03,31,976.1138,439.2512,21.940596,86.386068
rooftop_home_10kw,2025-04,30,1012.2148,455.4967,22.75206,89.581016
rooftop_home_10kw,2025-05,31,1125.6626,506.5482,25.30208,99.621139
rooftop_home_10kw,2025-06,30,1356.4737,610.4132,30.490139,120.04792
rooftop_home_10kw,2025-07,31,1162.4018,523.0808,26.127887,102.872562
rooftop_home_10kw,2025-08,31,1470.3343,661.6504,33.049439,130.124583
rooftop_home_10kw,2025-09,30,1271.0258,571.9616,28.569484,112.48579
rooftop_home_10kw,2025-10,31,1090.5651,490.7543,24.513178,96.515013
rooftop_home_10kw,2025-11,30,728.0708,327.6319,16.365212,64.434268
rooftop_home_10kw,2025-12,31,644.1417,289.8638,14.478695,57.00654
rooftop_home_10kw,2026-01,31,620.3412,279.1535,13.943721,54.900197
rooftop_home_10kw,2026-02,28,676.8071,304.5632,15.212932,59.89743
rooftop_home_10kw,2026-03,31,867.1724,390.2276,19.491866,76.744758
rooftop_home_10kw,2026-04,29,887.0307,399.1638,19.938234,78.502213
rooftop_home_10kw,2026-05,11,302.5188,136.1334,6.799866,26.77291
neighborhood_cluster_250kw,2024-01,31,18179.97,6362.9895,317.831327,1736.187136
neighborhood_cluster_250kw,2024-02,29,21222.22,7427.777,371.017461,2026.72201
neighborhood_cluster_250kw,2024-03,31,23467.68,8213.688,410.273713,2241.163437
neighborhood_cluster_250kw,2024-04,30,24563.621,8597.2674,429.433505,2345.825805
neighborhood_cluster_250kw,2024-05,31,27150.114,9502.5399,474.651867,2592.835888
neighborhood_cluster_250kw,2024-06,30,30061.945,10521.6807,525.557954,2870.915747
neighborhood_cluster_250kw,2024-07,31,36801.335,12880.4672,643.37934,3514.527492
neighborhood_cluster_250kw,2024-08,31,35003.419,12251.1966,611.947273,3342.826512
neighborhood_cluster_250kw,2024-09,30,30090.239,10531.5836,526.052601,2873.617827
neighborhood_cluster_250kw,2024-10,31,22458.4915,7860.472,392.630578,2144.785939
neighborhood_cluster_250kw,2024-11,30,16945.7625,5931.0169,296.254294,1618.320317
neighborhood_cluster_250kw,2024-12,31,15704.374,5496.5309,274.551719,1499.767717
neighborhood_cluster_250kw,2025-01,31,17374.365,6081.0278,303.747337,1659.25186
neighborhood_cluster_250kw,2025-02,28,15687.776,5490.7216,274.261542,1498.182606
neighborhood_cluster_250kw,2025-03,31,24402.844,8540.9954,426.622717,2330.4716
neighborhood_cluster_250kw,2025-04,30,25305.371,8856.8798,442.401149,2416.662931
neighborhood_cluster_250kw,2025-05,31,28141.565,9849.5477,491.984911,2687.519457
neighborhood_cluster_250kw,2025-06,30,33911.8425,11869.1449,592.863787,3238.580963
neighborhood_cluster_250kw,2025-07,31,29060.045,10171.0158,508.042237,2775.234295
neighborhood_cluster_250kw,2025-08,31,36758.3565,12865.4248,642.627966,3510.423044
neighborhood_cluster_250kw,2025-09,30,31775.6455,11121.4759,555.517719,3034.574147
neighborhood_cluster_250kw,2025-10,31,27264.1285,9542.445,476.645128,2603.724268
neighborhood_cluster_250kw,2025-11,30,18201.771,6370.6199,318.212462,1738.269131
neighborhood_cluster_250kw,2025-12,31,16103.543,5636.2401,281.530191,1537.888358
neighborhood_cluster_250kw,2026-01,31,15508.5305,5427.9857,271.127886,1481.06466
neighborhood_cluster_250kw,2026-02,28,16920.1775,5922.0621,295.807007,1615.87695
neighborhood_cluster_250kw,2026-03,31,21679.31,7587.7585,379.008536,2070.374101
neighborhood_cluster_250kw,2026-04,29,22175.7665,7761.5183,387.687836,2117.785701
neighborhood_cluster_250kw,2026-05,11,7562.969,2647.0391,132.219605,722.26354
commercial_portfolio_1mw,2024-01,31,72719.88,18179.97,908.089501,7453.7877
commercial_portfolio_1mw,2024-02,29,84888.88,21222.22,1060.049889,8701.1102
commercial_portfolio_1mw,2024-03,31,93870.72,23467.68,1172.210616,9621.7488
commercial_portfolio_1mw,2024-04,30,98254.484,24563.621,1226.952869,10071.08461
commercial_portfolio_1mw,2024-05,31,108600.456,27150.114,1356.148197,11131.54674
commercial_portfolio_1mw,2024-06,30,120247.78,30061.945,1501.594154,12325.39745
commercial_portfolio_1mw,2024-07,31,147205.34,36801.335,1838.226682,15088.54735
commercial_portfolio_1mw,2024-08,31,140013.676,35003.419,1748.420778,14351.40179
commercial_portfolio_1mw,2024-09,30,120360.956,30090.239,1503.007438,12336.99799
commercial_portfolio_1mw,2024-10,31,89833.966,22458.4915,1121.801649,9207.981515
commercial_portfolio_1mw,2024-11,30,67783.05,16945.7625,846.440834,6947.762625
commercial_portfolio_1mw,2024-12,31,62817.496,15704.374,784.433481,6438.79334
commercial_portfolio_1mw,2025-01,31,69497.46,17374.365,867.849533,7123.48965
commercial_portfolio_1mw,2025-02,28,62751.104,15687.776,783.604408,6431.98816
commercial_portfolio_1mw,2025-03,31,97611.376,24402.844,1218.922056,10005.16604
commercial_portfolio_1mw,2025-04,30,101221.484,25305.371,1264.00328,10375.20211
commercial_portfolio_1mw,2025-05,31,112566.26,28141.565,1405.671173,11538.04165
commercial_portfolio_1mw,2025-06,30,135647.37,33911.8425,1693.896532,13903.855425
commercial_portfolio_1mw,2025-07,31,116240.18,29060.045,1451.549248,11914.61845
commercial_portfolio_1mw,2025-08,31,147033.426,36758.3565,1836.079906,15070.926165
commercial_portfolio_1mw,2025-09,30,127102.582,31775.6455,1587.193491,13028.014655
commercial_portfolio_1mw,2025-10,31,109056.514,27264.1285,1361.843218,11178.292685
commercial_portfolio_1mw,2025-11,30,72807.084,18201.771,909.178463,7462.72611
commercial_portfolio_1mw,2025-12,31,64414.172,16103.543,804.371973,6602.45263
commercial_portfolio_1mw,2026-01,31,62034.122,15508.5305,774.651098,6358.497505
commercial_portfolio_1mw,2026-02,28,67680.71,16920.1775,845.162869,6937.272775
commercial_portfolio_1mw,2026-03,31,86717.24,21679.31,1082.881539,8888.5171
commercial_portfolio_1mw,2026-04,29,88703.066,22175.7665,1107.679535,9092.064265
commercial_portfolio_1mw,2026-05,11,30251.876,7562.969,377.770303,3100.81729
