site_id,date,normalised_resource_index,generation_kwh,eligible_surplus_kwh,net_minted_spk,settlement_volume_spk,redeemed_spk,owed_kwh,shortfall_kwh
rooftop_home_10kw,2026-05-03,1.469221,40.40608,18.182736,0.908228,1.362342,0.31788,6.357594,0.063576
rooftop_home_10kw,2026-05-04,0.474081,13.038033,5.867115,0.293062,0.439594,0.102572,2.051437,0.020514
rooftop_home_10kw,2026-05-05,0.371526,10.21761,4.597924,0.229666,0.344499,0.080383,1.607664,0.016077
rooftop_home_10kw,2026-05-06,0.703793,19.355507,8.709978,0.435063,0.652595,0.152272,3.045444,0.030454
rooftop_home_10kw,2026-05-07,1.258678,34.615789,15.577105,0.778076,1.167115,0.272327,5.446535,0.054465
rooftop_home_10kw,2026-05-08,1.317989,36.246924,16.311116,0.81474,1.22211,0.285159,5.703182,0.057032
rooftop_home_10kw,2026-05-09,0.532557,14.646236,6.590806,0.329211,0.493816,0.115224,2.304475,0.023045
rooftop_home_10kw,2026-05-10,0.239253,6.579861,2.960937,0.147899,0.221848,0.051765,1.035292,0.010353
rooftop_home_10kw,2026-05-11,1.371034,37.705779,16.967601,0.847532,1.271297,0.296636,5.932722,0.059327
rooftop_home_10kw,2026-05-12,1.592615,43.799618,19.709828,0.984506,1.476759,0.344577,6.891541,0.068915
rooftop_home_10kw,2026-05-13,0.906695,24.935665,11.221049,0.560491,0.840737,0.196172,3.92344,0.039234
rooftop_home_10kw,2026-05-14,0.597931,16.44412,7.399854,0.369623,0.554434,0.129368,2.587359,0.025874
rooftop_home_10kw,2026-05-15,0.651868,17.927473,8.067363,0.402965,0.604447,0.141038,2.820753,0.028208
rooftop_home_10kw,2026-05-16,0.935805,25.736217,11.581298,0.578486,0.867729,0.20247,4.049401,0.040494
neighborhood_cluster_250kw,2026-05-03,1.469221,1010.152006,353.553202,17.659982,44.149956,8.829991,176.599824,5.297995
neighborhood_cluster_250kw,2026-05-04,0.474081,325.950834,114.082792,5.698435,14.246089,2.849218,56.984355,1.709531
neighborhood_cluster_250kw,2026-05-05,0.371526,255.440245,89.404086,4.465734,11.164335,2.232867,44.657341,1.33972
neighborhood_cluster_250kw,2026-05-06,0.703793,483.88767,169.360684,8.459566,21.148915,4.229783,84.595662,2.53787
neighborhood_cluster_250kw,2026-05-07,1.258678,865.394729,302.888155,15.129263,37.823158,7.564632,151.292634,4.538779
neighborhood_cluster_250kw,2026-05-08,1.317989,906.173112,317.160589,15.842171,39.605429,7.921086,158.421714,4.752651
neighborhood_cluster_250kw,2026-05-09,0.532557,366.155895,128.154563,6.40132,16.003301,3.20066,64.013204,1.920396
neighborhood_cluster_250kw,2026-05-10,0.239253,164.496519,57.573782,2.87581,7.189526,1.437905,28.758104,0.862743
neighborhood_cluster_250kw,2026-05-11,1.371034,942.644476,329.925567,16.479782,41.199455,8.239891,164.79782,4.943935
neighborhood_cluster_250kw,2026-05-12,1.592615,1094.990459,383.246661,19.143171,47.857927,9.571585,191.431707,5.742951
neighborhood_cluster_250kw,2026-05-13,0.906695,623.391624,218.187068,10.898444,27.24611,5.449222,108.984441,3.269533
neighborhood_cluster_250kw,2026-05-14,0.597931,411.102998,143.886049,7.187108,17.96777,3.593554,71.871082,2.156132
neighborhood_cluster_250kw,2026-05-15,0.651868,448.186828,156.86539,7.835426,19.588566,3.917713,78.354262,2.350628
neighborhood_cluster_250kw,2026-05-16,0.935805,643.405433,225.191901,11.248335,28.120839,5.624168,112.483355,3.374501
commercial_portfolio_1mw,2026-05-03,1.469221,4040.608023,1010.152006,50.457093,151.371278,22.705692,454.113834,22.705692
commercial_portfolio_1mw,2026-05-04,0.474081,1303.803335,325.950834,16.281244,48.843732,7.32656,146.531197,7.32656
commercial_portfolio_1mw,2026-05-05,0.371526,1021.760979,255.440245,12.75924,38.277721,5.741658,114.833162,5.741658
commercial_portfolio_1mw,2026-05-06,0.703793,1935.550679,483.88767,24.170189,72.510567,10.876585,217.531702,10.876585
commercial_portfolio_1mw,2026-05-07,1.258678,3461.578918,865.394729,43.226467,129.6794,19.45191,389.038201,19.45191
commercial_portfolio_1mw,2026-05-08,1.317989,3624.692449,906.173112,45.263347,135.790041,20.368506,407.370123,20.368506
commercial_portfolio_1mw,2026-05-09,0.532557,1464.623581,366.155895,18.289487,54.868461,8.230269,164.605383,8.230269
commercial_portfolio_1mw,2026-05-10,0.239253,657.986075,164.496519,8.216601,24.649803,3.697471,73.94941,3.697471
commercial_portfolio_1mw,2026-05-11,1.371034,3770.577903,942.644476,47.085092,141.255275,21.188291,423.765824,21.188291
commercial_portfolio_1mw,2026-05-12,1.592615,4379.961836,1094.990459,54.694773,164.08432,24.612648,492.252961,24.612648
commercial_portfolio_1mw,2026-05-13,0.906695,2493.566495,623.391624,31.138412,93.415235,14.012285,280.245704,14.012285
commercial_portfolio_1mw,2026-05-14,0.597931,1644.411993,411.102998,20.534595,61.603784,9.240568,184.811353,9.240568
commercial_portfolio_1mw,2026-05-15,0.651868,1792.747312,448.186828,22.386932,67.160796,10.074119,201.482389,10.074119
commercial_portfolio_1mw,2026-05-16,0.935805,2573.62173,643.405433,32.138101,96.414304,14.462146,289.242912,14.462146
